CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-505,"Black, African American or African",In_Combination,193
2017,CA-505,Hispanic/Latina/e/o,Alone,33
2017,CA-505,Hispanic/Latina/e/o,In_Combination,695
2017,CA-505,Native Hawaiian or Pacific Islander,Alone,76
2017,CA-505,Native Hawaiian or Pacific Islander,In_Combination,50
2017,CA-505,White,Alone,1087
2017,CA-505,White,In_Combination,487
2017,CA-506,"American Indian, Alaska Native, or Indigenous",Alone,14
2017,CA-506,"American Indian, Alaska Native, or Indigenous",In_Combination,100
2017,CA-506,Asian or Asian American,Alone,33
2017,CA-506,Asian or Asian American,In_Combination,45
2017,CA-506,"Black, African American or African",Alone,202
2017,CA-506,"Black, African American or African",In_Combination,93
2017,CA-506,Hispanic/Latina/e/o,Alone,27
2017,CA-506,Hispanic/Latina/e/o,In_Combination,1344
2017,CA-506,Native Hawaiian or Pacific Islander,Alone,31
2017,CA-506,Native Hawaiian or Pacific Islander,In_Combination,29
2017,CA-506,White,Alone,565
2017,CA-506,White,In_Combination,1305
2017,CA-507,"American Indian, Alaska Native, or Indigenous",Alone,23
2017,CA-507,"American Indian, Alaska Native, or Indigenous",In_Combination,34
2017,CA-507,Asian or Asian American,Alone,32
2017,CA-507,Asian or Asian American,In_Combination,*
2017,CA-507,"Black, African American or African",Alone,318
2017,CA-507,"Black, African American or African",In_Combination,59
2017,CA-507,Hispanic/Latina/e/o,Alone,45
2017,CA-507,Hispanic/Latina/e/o,In_Combination,310
2017,CA-507,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-507,Native Hawaiian or Pacific Islander,In_Combination,16
2017,CA-507,White,Alone,800
2017,CA-507,White,In_Combination,313
2017,CA-508,"American Indian, Alaska Native, or Indigenous",Alone,35
2017,CA-508,"American Indian, Alaska Native, or Indigenous",In_Combination,223
2017,CA-508,Asian or Asian American,Alone,14
2017,CA-508,Asian or Asian American,In_Combination,19
2017,CA-508,"Black, African American or African",Alone,92
2017,CA-508,"Black, African American or African",In_Combination,45
2017,CA-508,Hispanic/Latina/e/o,Alone,44
2017,CA-508,Hispanic/Latina/e/o,In_Combination,618
2017,CA-508,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-508,Native Hawaiian or Pacific Islander,In_Combination,21
2017,CA-508,White,Alone,927
2017,CA-508,White,In_Combination,488
2017,CA-509,"American Indian, Alaska Native, or Indigenous",Alone,52
2017,CA-509,"American Indian, Alaska Native, or Indigenous",In_Combination,54
2017,CA-509,Asian or Asian American,Alone,*
2017,CA-509,Asian or Asian American,In_Combination,*
2017,CA-509,"Black, African American or African",Alone,38
2017,CA-509,"Black, African American or African",In_Combination,11
2017,CA-509,Hispanic/Latina/e/o,Alone,*
2017,CA-509,Hispanic/Latina/e/o,In_Combination,85
2017,CA-509,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-509,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-509,White,Alone,564
2017,CA-509,White,In_Combination,95
2017,CA-510,"American Indian, Alaska Native, or Indigenous",Alone,61
2017,CA-510,"American Indian, Alaska Native, or Indigenous",In_Combination,285
2017,CA-510,Asian or Asian American,Alone,71
2017,CA-510,Asian or Asian American,In_Combination,71
2017,CA-510,"Black, African American or African",Alone,649
2017,CA-510,"Black, African American or African",In_Combination,362
2017,CA-510,Hispanic/Latina/e/o,Alone,127
2017,CA-510,Hispanic/Latina/e/o,In_Combination,2683
2017,CA-510,Native Hawaiian or Pacific Islander,Alone,69
2017,CA-510,Native Hawaiian or Pacific Islander,In_Combination,88
2017,CA-510,White,Alone,2249
2017,CA-510,White,In_Combination,2647
2017,CA-511,"American Indian, Alaska Native, or Indigenous",Alone,63
2017,CA-511,"American Indian, Alaska Native, or Indigenous",In_Combination,208
2017,CA-511,Asian or Asian American,Alone,161
2017,CA-511,Asian or Asian American,In_Combination,99
2017,CA-511,"Black, African American or African",Alone,2594
2017,CA-511,"Black, African American or African",In_Combination,433
2017,CA-511,Hispanic/Latina/e/o,Alone,271
2017,CA-511,Hispanic/Latina/e/o,In_Combination,2264
2017,CA-511,Native Hawaiian or Pacific Islander,Alone,69
2017,CA-511,Native Hawaiian or Pacific Islander,In_Combination,63
2017,CA-511,White,Alone,1942
2017,CA-511,White,In_Combination,2271
2017,CA-512,"American Indian, Alaska Native, or Indigenous",Alone,29
2017,CA-512,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-512,Asian or Asian American,Alone,202
2017,CA-512,Asian or Asian American,In_Combination,48
2017,CA-512,"Black, African American or African",Alone,682
2017,CA-512,"Black, African American or African",In_Combination,116
2017,CA-512,Hispanic/Latina/e/o,Alone,62
2017,CA-512,Hispanic/Latina/e/o,In_Combination,1408
2017,CA-512,Native Hawaiian or Pacific Islander,Alone,346
2017,CA-512,Native Hawaiian or Pacific Islander,In_Combination,42
2017,CA-512,White,Alone,1005
2017,CA-512,White,In_Combination,1171
2017,CA-513,"American Indian, Alaska Native, or Indigenous",Alone,46
2017,CA-513,"American Indian, Alaska Native, or Indigenous",In_Combination,102
2017,CA-513,Asian or Asian American,Alone,15
2017,CA-513,Asian or Asian American,In_Combination,15
2017,CA-513,"Black, African American or African",Alone,335
2017,CA-513,"Black, African American or African",In_Combination,87
2017,CA-513,Hispanic/Latina/e/o,Alone,124
2017,CA-513,Hispanic/Latina/e/o,In_Combination,1309
2017,CA-513,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-513,Native Hawaiian or Pacific Islander,In_Combination,16
2017,CA-513,White,Alone,1033
2017,CA-513,White,In_Combination,1259
2017,CA-514,"American Indian, Alaska Native, or Indigenous",Alone,51
2017,CA-514,"American Indian, Alaska Native, or Indigenous",In_Combination,82
2017,CA-514,Asian or Asian American,Alone,29
2017,CA-514,Asian or Asian American,In_Combination,*
2017,CA-514,"Black, African American or African",Alone,562
2017,CA-514,"Black, African American or African",In_Combination,81
2017,CA-514,Hispanic/Latina/e/o,Alone,42
2017,CA-514,Hispanic/Latina/e/o,In_Combination,1118
2017,CA-514,Native Hawaiian or Pacific Islander,Alone,11
2017,CA-514,Native Hawaiian or Pacific Islander,In_Combination,16
2017,CA-514,White,Alone,701
2017,CA-514,White,In_Combination,1066
2017,CA-515,"American Indian, Alaska Native, or Indigenous",Alone,21
2017,CA-515,"American Indian, Alaska Native, or Indigenous",In_Combination,122
2017,CA-515,Asian or Asian American,Alone,*
2017,CA-515,Asian or Asian American,In_Combination,16
2017,CA-515,"Black, African American or African",Alone,87
2017,CA-515,"Black, African American or African",In_Combination,64
2017,CA-515,Hispanic/Latina/e/o,Alone,13
2017,CA-515,Hispanic/Latina/e/o,In_Combination,203
2017,CA-515,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-515,Native Hawaiian or Pacific Islander,In_Combination,25
2017,CA-515,White,Alone,874
2017,CA-515,White,In_Combination,238
2017,CA-516,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-516,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-516,Asian or Asian American,Alone,*
2017,CA-516,Asian or Asian American,In_Combination,*
2017,CA-516,"Black, African American or African",Alone,11
2017,CA-516,"Black, African American or African",In_Combination,14
2017,CA-516,Hispanic/Latina/e/o,Alone,*
2017,CA-516,Hispanic/Latina/e/o,In_Combination,23
2017,CA-516,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-516,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-516,White,Alone,152
2017,CA-516,White,In_Combination,42
2017,CA-517,"American Indian, Alaska Native, or Indigenous",Alone,18
2017,CA-517,"American Indian, Alaska Native, or Indigenous",In_Combination,110
2017,CA-517,Asian or Asian American,Alone,*
2017,CA-517,Asian or Asian American,In_Combination,*
2017,CA-517,"Black, African American or African",Alone,51
2017,CA-517,"Black, African American or African",In_Combination,15
2017,CA-517,Hispanic/Latina/e/o,Alone,*
2017,CA-517,Hispanic/Latina/e/o,In_Combination,309
2017,CA-517,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-517,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-517,White,Alone,523
2017,CA-517,White,In_Combination,215
2017,CA-518,"American Indian, Alaska Native, or Indigenous",Alone,17
2017,CA-518,"American Indian, Alaska Native, or Indigenous",In_Combination,57
2017,CA-518,Asian or Asian American,Alone,15
2017,CA-518,Asian or Asian American,In_Combination,26
2017,CA-518,"Black, African American or African",Alone,375
2017,CA-518,"Black, African American or African",In_Combination,59
2017,CA-518,Hispanic/Latina/e/o,Alone,*
2017,CA-518,Hispanic/Latina/e/o,In_Combination,131
2017,CA-518,Native Hawaiian or Pacific Islander,Alone,16
2017,CA-518,Native Hawaiian or Pacific Islander,In_Combination,22
2017,CA-518,White,Alone,286
2017,CA-518,White,In_Combination,163
2017,CA-519,"American Indian, Alaska Native, or Indigenous",Alone,44
2017,CA-519,"American Indian, Alaska Native, or Indigenous",In_Combination,76
2017,CA-519,Asian or Asian American,Alone,*
2017,CA-519,Asian or Asian American,In_Combination,*
2017,CA-519,"Black, African American or African",Alone,71
2017,CA-519,"Black, African American or African",In_Combination,46
2017,CA-519,Hispanic/Latina/e/o,Alone,*
2017,CA-519,Hispanic/Latina/e/o,In_Combination,161
2017,CA-519,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-519,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-519,White,Alone,964
2017,CA-519,White,In_Combination,232
2017,CA-520,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-520,"American Indian, Alaska Native, or Indigenous",In_Combination,17
2017,CA-520,Asian or Asian American,Alone,*
2017,CA-520,Asian or Asian American,In_Combination,*
2017,CA-520,"Black, African American or African",Alone,119
2017,CA-520,"Black, African American or African",In_Combination,14
2017,CA-520,Hispanic/Latina/e/o,Alone,*
2017,CA-520,Hispanic/Latina/e/o,In_Combination,178
2017,CA-520,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-520,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-520,White,Alone,264
2017,CA-520,White,In_Combination,179
2017,CA-521,"American Indian, Alaska Native, or Indigenous",Alone,12
2017,CA-521,"American Indian, Alaska Native, or Indigenous",In_Combination,32
2017,CA-521,Asian or Asian American,Alone,*
2017,CA-521,Asian or Asian American,In_Combination,*
2017,CA-521,"Black, African American or African",Alone,116
2017,CA-521,"Black, African American or African",In_Combination,22
2017,CA-521,Hispanic/Latina/e/o,Alone,*
2017,CA-521,Hispanic/Latina/e/o,In_Combination,140
2017,CA-521,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-521,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-521,White,Alone,227
2017,CA-521,White,In_Combination,123
2017,CA-522,"American Indian, Alaska Native, or Indigenous",Alone,59
2017,CA-522,"American Indian, Alaska Native, or Indigenous",In_Combination,127
2017,CA-522,Asian or Asian American,Alone,*
2017,CA-522,Asian or Asian American,In_Combination,*
2017,CA-522,"Black, African American or African",Alone,40
2017,CA-522,"Black, African American or African",In_Combination,20
2017,CA-522,Hispanic/Latina/e/o,Alone,*
2017,CA-522,Hispanic/Latina/e/o,In_Combination,127
2017,CA-522,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-522,Native Hawaiian or Pacific Islander,In_Combination,13
2017,CA-522,White,Alone,636
2017,CA-522,White,In_Combination,191
2017,CA-523,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-523,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-523,"Black, African American or African",Alone,*
2017,CA-523,"Black, African American or African",In_Combination,*
2017,CA-523,Hispanic/Latina/e/o,Alone,14
2017,CA-523,Hispanic/Latina/e/o,In_Combination,75
2017,CA-523,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-523,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-523,White,Alone,80
2017,CA-523,White,In_Combination,70
2017,CA-524,Hispanic/Latina/e/o,Alone,*
2017,CA-524,Hispanic/Latina/e/o,In_Combination,*
2017,CA-524,White,Alone,*
2017,CA-524,White,In_Combination,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-525,Asian or Asian American,Alone,*
2017,CA-525,Asian or Asian American,In_Combination,*
2017,CA-525,"Black, African American or African",Alone,*
2017,CA-525,"Black, African American or African",In_Combination,*
2017,CA-525,Hispanic/Latina/e/o,Alone,*
2017,CA-525,Hispanic/Latina/e/o,In_Combination,41
2017,CA-525,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-525,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-525,White,Alone,235
2017,CA-525,White,In_Combination,36
2017,CA-526,"American Indian, Alaska Native, or Indigenous",Alone,17
2017,CA-526,"American Indian, Alaska Native, or Indigenous",In_Combination,32
2017,CA-526,Asian or Asian American,Alone,*
2017,CA-526,Asian or Asian American,In_Combination,*
2017,CA-526,"Black, African American or African",Alone,11
2017,CA-526,"Black, African American or African",In_Combination,*
2017,CA-526,Hispanic/Latina/e/o,Alone,*
2017,CA-526,Hispanic/Latina/e/o,In_Combination,83
2017,CA-526,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-526,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-526,White,Alone,413
2017,CA-526,White,In_Combination,109
2017,CA-527,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-527,"American Indian, Alaska Native, or Indigenous",In_Combination,22
2017,CA-527,Asian or Asian American,Alone,*
2017,CA-527,Asian or Asian American,In_Combination,*
2017,CA-527,"Black, African American or African",Alone,*
2017,CA-527,"Black, African American or African",In_Combination,*
2017,CA-527,Hispanic/Latina/e/o,Alone,*
2017,CA-527,Hispanic/Latina/e/o,In_Combination,43
2017,CA-527,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-527,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-527,White,Alone,293
2017,CA-527,White,In_Combination,61
2017,CA-529,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-529,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-529,Asian or Asian American,Alone,*
2017,CA-529,Asian or Asian American,In_Combination,*
2017,CA-529,"Black, African American or African",Alone,*
2017,CA-529,"Black, African American or African",In_Combination,*
2017,CA-529,Hispanic/Latina/e/o,Alone,*
2017,CA-529,Hispanic/Latina/e/o,In_Combination,12
2017,CA-529,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-529,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-529,White,Alone,16
2017,CA-529,White,In_Combination,11
2017,CA-530,"American Indian, Alaska Native, or Indigenous",Alone,29
2017,CA-530,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-530,Asian or Asian American,Alone,*
2017,CA-530,Asian or Asian American,In_Combination,*
2017,CA-530,"Black, African American or African",Alone,*
2017,CA-530,"Black, African American or African",In_Combination,*
2017,CA-530,Hispanic/Latina/e/o,Alone,*
2017,CA-530,Hispanic/Latina/e/o,In_Combination,47
2017,CA-530,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-530,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-530,White,Alone,97
2017,CA-530,White,In_Combination,47
2017,CA-531,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-531,"American Indian, Alaska Native, or Indigenous",In_Combination,20
2017,CA-531,Asian or Asian American,Alone,*
2017,CA-531,Asian or Asian American,In_Combination,*
2017,CA-531,"Black, African American or African",Alone,*
2017,CA-531,"Black, African American or African",In_Combination,*
2017,CA-531,Hispanic/Latina/e/o,Alone,*
2017,CA-531,Hispanic/Latina/e/o,In_Combination,32
2017,CA-531,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-531,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-531,White,Alone,379
2017,CA-531,White,In_Combination,56
2017,CA-600,"American Indian, Alaska Native, or Indigenous",Alone,357
2017,CA-600,"American Indian, Alaska Native, or Indigenous",In_Combination,988
2017,CA-600,Asian or Asian American,Alone,591
2017,CA-600,Asian or Asian American,In_Combination,269
2017,CA-600,"Black, African American or African",Alone,23501
2017,CA-600,"Black, African American or African",In_Combination,1851
2017,CA-600,Hispanic/Latina/e/o,Alone,1995
2017,CA-600,Hispanic/Latina/e/o,In_Combination,16030
2017,CA-600,Native Hawaiian or Pacific Islander,Alone,284
2017,CA-600,Native Hawaiian or Pacific Islander,In_Combination,376
2017,CA-600,White,Alone,9518
2017,CA-600,White,In_Combination,15283
2017,CA-601,"American Indian, Alaska Native, or Indigenous",Alone,100
2017,CA-601,"American Indian, Alaska Native, or Indigenous",In_Combination,359
2017,CA-601,Asian or Asian American,Alone,167
2017,CA-601,Asian or Asian American,In_Combination,144
2017,CA-601,"Black, African American or African",Alone,3146
2017,CA-601,"Black, African American or African",In_Combination,627
2017,CA-601,Hispanic/Latina/e/o,Alone,77
2017,CA-601,Hispanic/Latina/e/o,In_Combination,3251
2017,CA-601,Native Hawaiian or Pacific Islander,Alone,121
2017,CA-601,Native Hawaiian or Pacific Islander,In_Combination,169
2017,CA-601,White,Alone,4058
2017,CA-601,White,In_Combination,3234
2017,CA-602,"American Indian, Alaska Native, or Indigenous",Alone,82
2017,CA-602,"American Indian, Alaska Native, or Indigenous",In_Combination,630
2017,CA-602,Asian or Asian American,Alone,248
2017,CA-602,Asian or Asian American,In_Combination,130
2017,CA-602,"Black, African American or African",Alone,1232
2017,CA-602,"Black, African American or African",In_Combination,386
2017,CA-602,Hispanic/Latina/e/o,Alone,152
2017,CA-602,Hispanic/Latina/e/o,In_Combination,3907
2017,CA-602,Native Hawaiian or Pacific Islander,Alone,110
2017,CA-602,Native Hawaiian or Pacific Islander,In_Combination,108
2017,CA-602,White,Alone,4048
2017,CA-602,White,In_Combination,3496
2017,CA-603,"American Indian, Alaska Native, or Indigenous",Alone,41
2017,CA-603,"American Indian, Alaska Native, or Indigenous",In_Combination,119
2017,CA-603,Asian or Asian American,Alone,25
2017,CA-603,Asian or Asian American,In_Combination,28
2017,CA-603,"Black, African American or African",Alone,234
2017,CA-603,"Black, African American or African",In_Combination,72
2017,CA-603,Hispanic/Latina/e/o,Alone,63
2017,CA-603,Hispanic/Latina/e/o,In_Combination,1197
2017,CA-603,Native Hawaiian or Pacific Islander,Alone,14
2017,CA-603,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-603,White,Alone,1214
2017,CA-603,White,In_Combination,1199
2017,CA-604,"American Indian, Alaska Native, or Indigenous",Alone,33
2017,CA-604,"American Indian, Alaska Native, or Indigenous",In_Combination,90
2017,CA-604,Asian or Asian American,Alone,*
2017,CA-604,Asian or Asian American,In_Combination,*
2017,CA-604,"Black, African American or African",Alone,700
2017,CA-604,"Black, African American or African",In_Combination,78
2017,CA-604,Hispanic/Latina/e/o,Alone,12
2017,CA-604,Hispanic/Latina/e/o,In_Combination,1129
2017,CA-604,Native Hawaiian or Pacific Islander,Alone,26
2017,CA-604,Native Hawaiian or Pacific Islander,In_Combination,11
2017,CA-604,White,Alone,1240
2017,CA-604,White,In_Combination,1123
2017,CA-606,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-606,"American Indian, Alaska Native, or Indigenous",In_Combination,45
2017,CA-606,Asian or Asian American,Alone,36
2017,CA-606,Asian or Asian American,In_Combination,24
2017,CA-606,"Black, African American or African",Alone,1195
2017,CA-606,"Black, African American or African",In_Combination,136
2017,CA-606,Hispanic/Latina/e/o,Alone,29
2017,CA-606,Hispanic/Latina/e/o,In_Combination,615
2017,CA-606,Native Hawaiian or Pacific Islander,Alone,31
2017,CA-606,Native Hawaiian or Pacific Islander,In_Combination,22
2017,CA-606,White,Alone,638
2017,CA-606,White,In_Combination,606
2017,CA-607,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-607,"American Indian, Alaska Native, or Indigenous",In_Combination,23
2017,CA-607,Asian or Asian American,Alone,24
2017,CA-607,Asian or Asian American,In_Combination,*
2017,CA-607,"Black, African American or African",Alone,442
2017,CA-607,"Black, African American or African",In_Combination,51
2017,CA-607,Hispanic/Latina/e/o,Alone,27
2017,CA-607,Hispanic/Latina/e/o,In_Combination,408
2017,CA-607,Native Hawaiian or Pacific Islander,Alone,18
2017,CA-607,Native Hawaiian or Pacific Islander,In_Combination,14
2017,CA-607,White,Alone,275
2017,CA-607,White,In_Combination,376
2017,CA-608,"American Indian, Alaska Native, or Indigenous",Alone,66
2017,CA-608,"American Indian, Alaska Native, or Indigenous",In_Combination,160
2017,CA-608,Asian or Asian American,Alone,61
2017,CA-608,Asian or Asian American,In_Combination,29
2017,CA-608,"Black, African American or African",Alone,1435
2017,CA-608,"Black, African American or African",In_Combination,209
2017,CA-608,Hispanic/Latina/e/o,Alone,67
2017,CA-608,Hispanic/Latina/e/o,In_Combination,2354
2017,CA-608,Native Hawaiian or Pacific Islander,Alone,64
2017,CA-608,Native Hawaiian or Pacific Islander,In_Combination,48
2017,CA-608,White,Alone,2343
2017,CA-608,White,In_Combination,2273
2017,CA-609,"American Indian, Alaska Native, or Indigenous",Alone,69
2017,CA-609,"American Indian, Alaska Native, or Indigenous",In_Combination,159
2017,CA-609,Asian or Asian American,Alone,40
2017,CA-609,Asian or Asian American,In_Combination,33
2017,CA-609,"Black, African American or African",Alone,3536
2017,CA-609,"Black, African American or African",In_Combination,417
2017,CA-609,Hispanic/Latina/e/o,Alone,46
2017,CA-609,Hispanic/Latina/e/o,In_Combination,2638
2017,CA-609,Native Hawaiian or Pacific Islander,Alone,41
2017,CA-609,Native Hawaiian or Pacific Islander,In_Combination,55
2017,CA-609,White,Alone,1709
2017,CA-609,White,In_Combination,2451
2017,CA-611,"American Indian, Alaska Native, or Indigenous",Alone,20
2017,CA-611,"American Indian, Alaska Native, or Indigenous",In_Combination,50
2017,CA-611,Asian or Asian American,Alone,17
2017,CA-611,Asian or Asian American,In_Combination,17
2017,CA-611,"Black, African American or African",Alone,134
2017,CA-611,"Black, African American or African",In_Combination,74
2017,CA-611,Hispanic/Latina/e/o,Alone,36
2017,CA-611,Hispanic/Latina/e/o,In_Combination,1126
2017,CA-611,Native Hawaiian or Pacific Islander,Alone,16
2017,CA-611,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-611,White,Alone,771
2017,CA-611,White,In_Combination,1140
2017,CA-612,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-612,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-612,Asian or Asian American,Alone,13
2017,CA-612,Asian or Asian American,In_Combination,*
2017,CA-612,"Black, African American or African",Alone,91
2017,CA-612,"Black, African American or African",In_Combination,21
2017,CA-612,Hispanic/Latina/e/o,Alone,*
2017,CA-612,Hispanic/Latina/e/o,In_Combination,185
2017,CA-612,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-612,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-612,White,Alone,105
2017,CA-612,White,In_Combination,176
2017,CA-613,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-613,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-613,Asian or Asian American,Alone,*
2017,CA-613,Asian or Asian American,In_Combination,*
2017,CA-613,"Black, African American or African",Alone,11
2017,CA-613,"Black, African American or African",In_Combination,*
2017,CA-613,Hispanic/Latina/e/o,Alone,*
2017,CA-613,Hispanic/Latina/e/o,In_Combination,433
2017,CA-613,Native Hawaiian or Pacific Islander,Alone,*
